PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(64, 248)",2,"(0, 1)","[(64, 248), (254, 97)]"
"(254, 97)",2,"(0, 5)","[(64, 248), (86, 209)]"
"(222, 96)",2,"(0, 7)","[(64, 248), (0, 0)]"
"(157, 144)",2,"(1, 2)","[(254, 97), (222, 96)]"
"(174, 110)",2,"(1, 7)","[(254, 97), (0, 0)]"
"(86, 209)",2,"(2, 7)","[(222, 96), (0, 0)]"
"(89, 186)",2,"(4, 7)","[(174, 110), (0, 0)]"
"(0, 0)",2,"(6, 7)","[(89, 186), (0, 0)]"
,3,"(0, 1, 2)","[(64, 248), (254, 97), (222, 96)]"
,3,"(0, 1, 5)","[(64, 248), (254, 97), (86, 209)]"
,3,"(0, 5, 6)","[(64, 248), (86, 209), (89, 186)]"
,3,"(0, 5, 7)","[(64, 248), (86, 209), (0, 0)]"
,3,"(0, 6, 7)","[(64, 248), (89, 186), (0, 0)]"
,3,"(1, 2, 3)","[(254, 97), (222, 96), (157, 144)]"
,3,"(1, 2, 4)","[(254, 97), (222, 96), (174, 110)]"
,3,"(1, 2, 7)","[(254, 97), (222, 96), (0, 0)]"
,3,"(2, 4, 7)","[(222, 96), (174, 110), (0, 0)]"
,3,"(4, 6, 7)","[(174, 110), (89, 186), (0, 0)]"
,3,"(5, 6, 7)","[(86, 209), (89, 186), (0, 0)]"
,4,"(0, 1, 2, 3)","[(64, 248), (254, 97), (222, 96), (157, 144)]"
,4,"(0, 1, 2, 5)","[(64, 248), (254, 97), (222, 96), (86, 209)]"
,4,"(0, 1, 3, 5)","[(64, 248), (254, 97), (157, 144), (86, 209)]"
,4,"(0, 1, 5, 6)","[(64, 248), (254, 97), (86, 209), (89, 186)]"
,4,"(0, 3, 5, 6)","[(64, 248), (157, 144), (86, 209), (89, 186)]"
,4,"(0, 5, 6, 7)","[(64, 248), (86, 209), (89, 186), (0, 0)]"
